nom,SIREN,COG,type,code_departement,code_departement_3digits,code_region,population
L'Abergement-Clémenciat,210100012,01001,COM,01,001,84,794
L'Abergement-de-Varey,210100020,01002,COM,01,001,84,249
Ambérieu-en-Bugey,210100046,01004,COM,01,001,84,14428
Ambérieux-en-Dombes,210100053,01005,COM,01,001,84,1723
Ambléon,210100061,01006,COM,01,001,84,117
Ambronay,210100079,01007,COM,01,001,84,2841
Ambutrix,210100087,01008,COM,01,001,84,767
Andert-et-Condon,210100095,01009,COM,01,001,84,339
Anglefort,210100103,01010,COM,01,001,84,1132
Apremont,210100111,01011,COM,01,001,84,387
Aranc,210100129,01012,COM,01,001,84,330
Arandas,210100137,01013,COM,01,001,84,148
Arbent,210100145,01014,COM,01,001,84,3459
Arboys en Bugey,200053668,01015,COM,01,001,84,661
Arbigny,210100160,01016,COM,01,001,84,468
Argis,210100178,01017,COM,01,001,84,458
Armix,210100194,01019,COM,01,001,84,29
Ars-sur-Formans,210100210,01021,COM,01,001,84,1438
Artemare,210100228,01022,COM,01,001,84,1255
Asnières-sur-Saône,210100236,01023,COM,01,001,84,66
Attignat,210100244,01024,COM,01,001,84,3275
Bâgé-Dommartin,200077220,01025,COM,01,001,84,4200
Bâgé-le-Châtel,210100269,01026,COM,01,001,84,983
Balan,210100277,01027,COM,01,001,84,2741
Baneins,210100285,01028,COM,01,001,84,611
Beaupont,210100293,01029,COM,01,001,84,697
Beauregard,210100301,01030,COM,01,001,84,880
Bellignat,210100319,01031,COM,01,001,84,3859
Béligneux,210100327,01032,COM,01,001,84,3362
Valserhône,200083863,01033,COM,01,001,84,16804
Belley,210100343,01034,COM,01,001,84,9499
Belleydoux,210100350,01035,COM,01,001,84,322
Valromey-sur-Séran,200086411,01036,COM,01,001,84,1329
Bénonces,210100376,01037,COM,01,001,84,302
Bény,210100384,01038,COM,01,001,84,777
Béon,210100392,01039,COM,01,001,84,462
Béréziat,210100400,01040,COM,01,001,84,501
Bettant,210100418,01041,COM,01,001,84,769
Bey,210100426,01042,COM,01,001,84,293
Beynost,210100434,01043,COM,01,001,84,4721
Billiat,210100442,01044,COM,01,001,84,637
Birieux,210100459,01045,COM,01,001,84,287
Biziat,210100467,01046,COM,01,001,84,885
Blyes,210100475,01047,COM,01,001,84,1032
La Boisse,210100491,01049,COM,01,001,84,3267
Boissey,210100509,01050,COM,01,001,84,342
Bolozon,210100517,01051,COM,01,001,84,90
Bouligneux,210100525,01052,COM,01,001,84,334
Bourg-en-Bresse,210100533,01053,COM,01,001,84,43306
Bourg-Saint-Christophe,210100541,01054,COM,01,001,84,1395
Boyeux-Saint-Jérôme,210100566,01056,COM,01,001,84,351
Boz,210100574,01057,COM,01,001,84,519
Brégnier-Cordon,210100582,01058,COM,01,001,84,852
Brénod,210100608,01060,COM,01,001,84,530
Brens,210100616,01061,COM,01,001,84,1193
Bressolles,210100624,01062,COM,01,001,84,931
Brion,210100632,01063,COM,01,001,84,528
Briord,210100640,01064,COM,01,001,84,1026
Buellas,210100657,01065,COM,01,001,84,1845
La Burbanche,210100665,01066,COM,01,001,84,78
Ceignes,210100673,01067,COM,01,001,84,267
Cerdon,210100681,01068,COM,01,001,84,797
Certines,210100699,01069,COM,01,001,84,1557
Cessy,210100715,01071,COM,01,001,84,4972
Ceyzériat,210100723,01072,COM,01,001,84,3218
Ceyzérieu,210100731,01073,COM,01,001,84,1033
Chalamont,210100749,01074,COM,01,001,84,2484
Chaleins,210100756,01075,COM,01,001,84,1376
Chaley,210100764,01076,COM,01,001,84,133
Challes-la-Montagne,210100772,01077,COM,01,001,84,197
Challex,210100780,01078,COM,01,001,84,1498
Champagne-en-Valromey,210100798,01079,COM,01,001,84,851
Champdor-Corcelles,200056695,01080,COM,01,001,84,665
Champfromier,210100814,01081,COM,01,001,84,750
Chanay,210100822,01082,COM,01,001,84,639
Chaneins,210100830,01083,COM,01,001,84,925
Chanoz-Châtenay,210100848,01084,COM,01,001,84,861
La Chapelle-du-Châtelard,210100855,01085,COM,01,001,84,393
Charix,210100871,01087,COM,01,001,84,295
Charnoz-sur-Ain,210100889,01088,COM,01,001,84,940
Château-Gaillard,210100897,01089,COM,01,001,84,2187
Châtenay,210100905,01090,COM,01,001,84,345
Châtillon-la-Palud,210100921,01092,COM,01,001,84,1652
Châtillon-sur-Chalaronne,210100939,01093,COM,01,001,84,5060
Chavannes-sur-Reyssouze,210100947,01094,COM,01,001,84,765
Nivigne et Suran,200062537,01095,COM,01,001,84,825
Chaveyriat,210100962,01096,COM,01,001,84,1037
Chazey-Bons,200063121,01098,COM,01,001,84,1148
Chazey-sur-Ain,210100996,01099,COM,01,001,84,1551
Cheignieu-la-Balme,210101002,01100,COM,01,001,84,138
Chevillard,210101010,01101,COM,01,001,84,160
Chevroux,210101028,01102,COM,01,001,84,967
Chevry,210101036,01103,COM,01,001,84,1852
Chézery-Forens,210101044,01104,COM,01,001,84,478
Civrieux,210101051,01105,COM,01,001,84,1736
Cize,210101069,01106,COM,01,001,84,181
Cleyzieu,210101077,01107,COM,01,001,84,140
Coligny,210101085,01108,COM,01,001,84,1206
Collonges,210101093,01109,COM,01,001,84,2265
Colomieu,210101101,01110,COM,01,001,84,142
Conand,210101119,01111,COM,01,001,84,125
Condamine,210101127,01112,COM,01,001,84,448
Condeissiat,210101135,01113,COM,01,001,84,835
Confort,210101143,01114,COM,01,001,84,660
Confrançon,210101150,01115,COM,01,001,84,1365
Contrevoz,210101168,01116,COM,01,001,84,510
Conzieu,210101176,01117,COM,01,001,84,150
Corbonod,210101184,01118,COM,01,001,84,1297
Corlier,210101218,01121,COM,01,001,84,115
Cormoranche-sur-Saône,210101234,01123,COM,01,001,84,1175
Cormoz,210101242,01124,COM,01,001,84,679
Corveissiat,210101259,01125,COM,01,001,84,634
Courmangoux,210101275,01127,COM,01,001,84,516
Courtes,210101283,01128,COM,01,001,84,315
Crans,210101291,01129,COM,01,001,84,270
Bresse Vallons,200086965,01130,COM,01,001,84,2327
Cressin-Rochefort,210101333,01133,COM,01,001,84,403
Crottet,210101341,01134,COM,01,001,84,1777
Crozet,210101358,01135,COM,01,001,84,2201
Cruzilles-lès-Mépillat,210101366,01136,COM,01,001,84,888
Culoz,210101382,01138,COM,01,001,84,3082
Curciat-Dongalon,210101390,01139,COM,01,001,84,445
Curtafond,210101408,01140,COM,01,001,84,789
Cuzieu,210101416,01141,COM,01,001,84,463
Dagneux,210101424,01142,COM,01,001,84,4772
Divonne-les-Bains,210101432,01143,COM,01,001,84,9878
Dompierre-sur-Veyle,210101457,01145,COM,01,001,84,1187
Dompierre-sur-Chalaronne,210101465,01146,COM,01,001,84,445
Domsure,210101473,01147,COM,01,001,84,489
Dortan,210101481,01148,COM,01,001,84,1890
Douvres,210101499,01149,COM,01,001,84,1067
Drom,210101507,01150,COM,01,001,84,221
Druillat,210101515,01151,COM,01,001,84,1178
Échallon,210101523,01152,COM,01,001,84,777
Échenevex,210101531,01153,COM,01,001,84,2205
Évosges,210101556,01155,COM,01,001,84,147
Faramans,210101564,01156,COM,01,001,84,818
Fareins,210101572,01157,COM,01,001,84,2246
Farges,210101580,01158,COM,01,001,84,1049
Feillens,210101598,01159,COM,01,001,84,3360
