nom,SIREN,type,code_departement,code_departement_3digits,code_region,population
CC du Causse de Labastide-Murat,244600573,CC,46,046,76,3979
CC du Cordais et du Causse (4 C),200034064,CC,81,081,76,4675
CC Cœur de Brenne,243600343,CC,36,036,24,4848
CC du Territoire de Fresnes-en-Woëvre,245501176,CC,55,055,44,4930
CC de la Montagne d'Ardèche,200072007,CC,07,007,84,5013
CC Cère et Goul en Carladès,241501089,CC,15,015,84,5024
CC Pays de Nérondes,200007177,CC,18,018,24,5049
CC Tille et Venelle,200070910,CC,21,021,27,5055
CC du Pays Fertois et du Bocage Carrougien,200071652,CC,61,061,28,5092
CC Thoré Montagne Noire,248100745,CC,81,081,76,5150
CC Vézère-Monédières-Millesources,200066645,CC,19,019,75,5216
CC des Hautes Terres de l'Aubrac,200069144,CC,48,048,76,5268
CC Gartempe - Saint-Pardoux,248719262,CC,87,087,75,5278
CC des Cévennes au Mont Lozère,200069136,CC,48,048,76,5284
CC Les Trois Provinces,241800432,CC,18,018,24,5294
CC du Canton de Semur-en-Brionnais,247103864,CC,71,071,27,5317
CC du Pays d'Urfé,244200820,CC,42,042,84,5338
CC de Londinières,247600604,CC,76,076,28,5347
CC des Pays de Cayres et de Pradelles,244301123,CC,43,043,84,5366
CC Porte d'Aquitaine en Pays de Serres,200036572,CC,47,047,75,5372
CC du Haut-Allier,200006930,CC,48,048,76,5444
CC Jabron-Lure-Vançon-Durance,200071033,CC,"04,26","04,26","84,93",5447
CC Cazals-Salviac,200035327,CC,46,046,76,5470
CC Randon - Margeride,200069102,CC,48,048,76,5479
CC Briance-Combade,248719338,CC,87,087,75,5495
CC de Saulieu,242101442,CC,21,021,27,5503
CC du Réquistanais,241200542,CC,12,012,76,5511
CC La Grandvallière,243900610,CC,39,039,27,5515
CC de Lévézou Pareloup,241200765,CC,12,012,76,5533
CC de Belle-Île-en-Mer,245600465,CC,56,056,53,5563
CC du Chemin des Dames,240200592,CC,02,002,32,5567
CC Causses Aigoual Cévennes,200034601,CC,30,030,76,5592
CC du Nivernais Bourbonnais,245804497,CC,58,058,27,5613
CC du Pays de Sancey-Belleherbe,242504371,CC,25,025,27,5633
CC de la Muse et des Raspes du Tarn,241200914,CC,12,012,76,5647
CC du Val de Cher,240300566,CC,03,003,84,5651
CC Val 81,248100497,CC,81,081,76,5670
CC Berry-Loire-Vauvise,200032514,CC,18,018,24,5673
CC Mont Lozère,200069128,CC,"30,48","30,48",76,5685
CC des Portes de Vassivière,248719353,CC,87,087,75,5704
CC Perthois-Bocage et Der,200042992,CC,51,051,44,5745
CC du Pays Rignacois,241200625,CC,12,012,76,5765
CC Aveyron Bas Ségala Viaur,241200807,CC,12,012,76,5768
CC Maurienne Galibier,247300452,CC,73,073,84,5783
CC du Canton d'Oulchy-le-Château,240200519,CC,02,002,32,5805
CC de la Marche Berrichonne,200007052,CC,36,036,24,5807
CC du Pays de Duras,244700449,CC,47,047,75,5813
CC Larzac et Vallées,241200906,CC,12,012,76,5943
CC du Lac d'Aiguebelette (CCLA),247300668,CC,73,073,84,5988
CC de la Montagne Noire,200042463,CC,11,011,76,5996
CC du Pays du Sanon,245400759,CC,54,054,44,6043
CC du Val d'Ay,240700716,CC,07,007,84,6063
CC du Val d'Orne,246100390,CC,61,061,28,6068
CC du Sud Marnais,245100979,CC,51,051,44,6097
CC du Plateau de Frasne et du Val de Drugeon (CFD),242504496,CC,25,025,27,6114
CC du Val de Bouzanne,200018521,CC,36,036,24,6120
CC de l'Oriente,200015162,CC,2B,02B,94,6122
CC des Vals d'Aix et Isable,244200614,CC,42,042,84,6156
CC Côtes de Meuse Woëvre,200034874,CC,55,055,44,6169
CC du Châtillonnais en Berry,200035848,CC,36,036,24,6234
CC des Collines du Perche,244100293,CC,41,041,24,6246
CC Pasquale Paoli,200073138,CC,2B,02B,94,6248
CC des Monts de Gy,247000698,CC,70,070,27,6296
CC Pyrénées catalanes,246600464,CC,66,066,76,6302
CC Val de Ligne,240700617,CC,07,007,84,6303
CC du Plateau de Montbazens,241200674,CC,12,012,76,6350
CC Chabris - Pays de Bazelle,243600202,CC,36,036,24,6353
CC du Pays de Villeneuve en Armagnac Landais,244000774,CC,40,040,75,6401
CC de Marcigny,247100639,CC,71,071,27,6402
CC de la Région de Levroux,243600293,CC,36,036,24,6457
CC Agly Fenouillèdes,246600423,CC,66,066,76,6516
CC des Monts d'Alban et du Villefranchois,200034031,CC,81,081,76,6533
"CC Monts,Rance et Rougier",200067163,CC,12,012,76,6568
CC Bresse Nord Intercom,247100647,CC,71,071,27,6638
CC Altitude 800,242504488,CC,25,025,27,6658
CC de l'Aire à l'Argonne,200066140,CC,55,055,44,6698
CC Portes de la Creuse en Marche,200041556,CC,23,023,75,6754
CC du Pays de Saint-Aulaye,242400935,CC,24,024,75,6789
CC du Pays de Montbozon et du Chanois,200041853,CC,70,070,27,6797
CC du Pays de Lamastre,200016905,CC,07,007,84,6805
CC du Pays des Ecrins,240500462,CC,05,005,93,6877
CC du Plateau de Russey,242504355,CC,25,025,27,6904
CC du Cap Corse,200042943,CC,2B,02B,94,6917
CC Porte de Maurienne,247300676,CC,73,073,84,6918
CC Marche Occitane - Val d'Anglin,200035137,CC,36,036,24,6921
"CC Forêts,Lacs,Terres en Champagne",241000223,CC,10,010,44,6953
CC de la Plaine du Nord Loiret,244500542,CC,45,045,24,7030
CC du Pays Gentiane,241500255,CC,15,015,84,7034
CC Airvaudais-Val du Thouet,200041416,CC,79,079,75,7055
"CC Forêts,Seine et Suzon",200039063,CC,21,021,27,7062
CC du Pays de Mauriac,241500271,CC,15,015,84,7062
CC Aure-Louron,246500573,CC,65,065,76,7074
CC Armagnac Adour,200035632,CC,32,032,76,7095
CC Cœur de Berry,200070571,CC,18,018,24,7107
CC des Portes de la Thiérache,240200634,CC,02,002,32,7110
CC de Bénévent Grand Bourg,242320000,CC,23,023,75,7111
CC de l'Est Guyanais,249730052,CC,973,973,03,7150
CC Artagnan de Fezensac,243200607,CC,32,032,76,7206
CC du Pays Dunois,242320109,CC,23,023,75,7243
CC du Pays de Montmédy,245501259,CC,55,055,44,7296
CC de Yenne,247300262,CC,73,073,84,7299
CC de la Station des Rousses-Haut Jura,243900354,CC,39,039,27,7304
CC Gorges Causses Cévennes,200069151,CC,48,048,76,7305
CC Argonne-Meuse,200066116,CC,55,055,44,7317
CC du Pays de Trie et du Magnoac,200070795,CC,65,065,76,7347
CC Loire et Allier,245801063,CC,58,058,27,7351
CC du Pays Arnay Liernais,200071173,CC,21,021,27,7360
CC de la Haute Ariège,200066363,CC,09,009,76,7403
CC des Vallées d'Aigueblanche,247300015,CC,73,073,84,7409
CC Neste Barousse,200070829,CC,65,065,76,7418
CC du Pays de Revigny-sur-Ornain,245501184,CC,55,055,44,7427
CC Lot et Tolzac,244701405,CC,47,047,75,7432
CC Bastides et Vallons du Gers,243200508,CC,32,032,76,7433
CC Nebbiu - Conca d'Oro,200073120,CC,2B,02B,94,7446
CC Astarac Arros en Gascogne,200035756,CC,32,032,76,7512
CC du Canton de la Chambre,247300361,CC,73,073,84,7522
CC du Serein,200039709,CC,89,089,27,7525
CC du Pays de Tronçais,240300558,CC,03,003,84,7616
