COG,nom,type,SIREN,population
01,Guadeloupe,REG,239710015,396153
02,Martinique,CTU,200055507,377711
03,Guyane,CTU,200052678,271124
04,La Réunion,REG,239740012,863063
11,Île-de-France,REG,237500079,12291279
24,Centre-Val de Loire,REG,234500023,2634852
27,Bourgogne-Franche-Comté,REG,200053726,2885864
28,Normandie,REG,200053403,3403309
32,Hauts-de-France,REG,200053742,6096177
44,Grand Est,REG,200052264,5657093
52,Pays de la Loire,REG,234400034,3846161
53,Bretagne,REG,233500016,3407564
75,Nouvelle-Aquitaine,REG,200053759,6094367
76,Occitanie,REG,200053791,5968795
84,Auvergne-Rhône-Alpes,REG,200053767,8120668
93,Provence-Alpes-Côte d'Azur,REG,231300021,5106679
94,Corse,CTU,200076958,340233
