siren,nom,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode,ptf,Techno (from Plateformes),Thématiques
213500010,ACIGNE,COM,BRE-53,https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné,4.0,,,,Commune d'Acigné,6275.0,48.1339,-1.53664,ptf,35,Rennes Métropole,OpenDataSoft,"Social, Citoyenneté"
254002272,ADACL Landes,AGCT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/610bd2362a874c7e1e86ad1b/,5.0,610bd2362a874c7e1e86ad1b,,,43.896942,-0.493159,datagouv,40,DataGouv,DataGouv,Equipements
306966110,ADEUPa,OACT,BRE-53,https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa,20.0,,,,ADEUPa,,48.390528,-4.486008,ptf,29,Brest Métropole,OpenDataSoft,"Economie, Urbanisme, Tourisme"
384452611,ADICO SMI OISE,AGCT,HDF-32,https://opendata.adico.fr/fr/dataset?organization=adico,1.0,,,,,,49.445022,2.101691,ptf,60,Adico,CKAN,Administratif
214700015,AGEN,COM,NAQ-75,https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen,1.0,https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/,86.0,5bec29278b4c412a07c7ee5f,Mairie d'Agen,34956.0,44.202482,0.618546,ptf+datagouv,47,"Agen, DataGouv","OpenDataSoft, DataGouv",Finance
776258261,AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE,OACT,ARA-84,https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche,0.0,,,,,,44.734568,4.598632,ptf,07,,,Tourisme
392178570,AGENCE DE TOURISME DE LA CORSE,OACT,COR-94,https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse,14.0,,,,Agence de Tourisme de la Corse,,41.92115,8.738851,ptf,2A,Corse,OpenDataSoft,Tourisme
775598998,AGENCE DE TOURISME LOIR ET CHER (ADT41),OACT,CVL-24,https://departement41-centrevaldeloire.opendatasoft.com/explore/?disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.features&sort=explore.popularity_score&refine.publisher=ADT41,2.0,,,,,,47.596397,1.336127,ptf,41,Loir-et-Cher,OpenDataSoft,Tourisme
287500052,AGENCE DES ESPACES VERTS ILE DE FRANCE,OACT,IDF-11,https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV),23.0,https://www.data.gouv.fr/fr/organizations/534fff4fa3a7292c64a77cb9/,4.0,534fff4fa3a7292c64a77cb9,Agence des espaces verts d'Île de France (AEV),,48.896651,2.402616,ptf+datagouv,93,"Ile-de-France, DataGouv","OpenDataSoft, DataGouv","Environnement, Equipements"
254003304,AGENCE LANDAISE POUR L'INFORMATIQUE,AGCT,NAQ-75,https://www.pigma.org/portail/fr/recherche?scope=dataset&responsibleParty.organisationName=AGENCE%20LANDAISE%20POUR%20L%20INFORMATIQUE,3.0,https://www.data.gouv.fr/fr/organizations/59b2610dc751df4ea9075aea/,3.0,59b2610dc751df4ea9075aea,,,43.896897,-0.493175,ptf+datagouv,40,"Portail PIGMA, DataGouv","Onegeo Suite, DataGouv","Administratif, Social"
256404393,AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES,AGCT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5c94a888634f415e8c85de26/,1.0,5c94a888634f415e8c85de26,,,43.31,-0.358315,datagouv,64,DataGouv,DataGouv,
216400085,AHAXE-ALCIETTE-BASCASSAN,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5f55fc85c2d347d5abab8c57/,2.0,5f55fc85c2d347d5abab8c57,,271.0,43.143915,-1.177989,datagouv,64,DataGouv,DataGouv,Equipements
210400016,AIGLUN,COM,PAC-93,https://trouver.datasud.fr/organization/commune-daiglun-04,4.0,,,,,1384.0,44.04942,6.137558,ptf,04,Data Sud,CKAN,"Culture, Administratif"
210500039,AIGUILLES,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/6155ff5b68c2a081f4576d50,1.0,6155ff5b68c2a081f4576d50,,411.0,44.781105,6.868662,datagouv,05,DataGouv,DataGouv,Equipements
220100010,AIN,DEP,ARA-84,http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain,39.0,https://www.data.gouv.fr/fr/organizations/5851009688ee3870fbc65bb3,223.0,5851009688ee3870fbc65bb3,,653688.0,,,ptf+datagouv,01,"Ain, DataGouv","ArcGIS, DataGouv","Environnement, Urbanisme, Transport"
216400119,AINCILE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/614359a8d6f6b32470dfe28b/,3.0,614359a8d6f6b32470dfe28b,,114.0,43.144235,-1.196101,datagouv,64,DataGouv,DataGouv,Equipements
216400119,AINCILLE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/614359a8d6f6b32470dfe28b/,3.0,614359a8d6f6b32470dfe28b,,116.0,43.144235,-1.196101,datagouv,64,DataGouv,DataGouv,Equipements
216400135,AINHICE MONGELOS,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5f340b1cfbebbe5c7c80d24e/,2.0,5f340b1cfbebbe5c7c80d24e,,173.0,43.206295,-1.15566,datagouv,64,DataGouv,DataGouv,Equipements
216400143,AINHOA,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5d4834076f444118283abfcf/,2.0,5d4834076f444118283abfcf,,671.0,43.306722,-1.498812,datagouv,64,DataGouv,DataGouv,Equipements
404453110,AIR BREIZH,OACT,BRE-53,http://data.airbreizh.asso.fr/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset,46.0,,,,,,48.0824,-1.68007,ptf,35,Air Breizh,GeoNetwork,Environnement
323266205,AIR PAYS DE LA LOIRE,OACT,PDL-52,https://data.airpl.org/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset,58.0,https://www.data.gouv.fr/fr/organizations/534fff53a3a7292c64a77cd7/,10.0,534fff53a3a7292c64a77cd7,,,47.276236,-1.510937,ptf+datagouv,44,"Air Pays de la Loire, DataGouv","GeoNetwork, DataGouv",Environnement
214000010,AIRE SUR L'ADOUR,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5b9a1371634f417f35dc4a7c/,1.0,5b9a1371634f417f35dc4a7c,,6099.0,43.7024,-0.262945,datagouv,40,DataGouv,DataGouv,Equipements
316465236,AIRPARIF,OACT,IDF-11,https://data-airparif-asso.opendata.arcgis.com/datasets,457.0,https://www.data.gouv.fr/fr/organizations/5a4381adc751df74bae4627d/,13.0,5a4381adc751df74bae4627d,,,48.848961,2.365279,ptf+datagouv,75,"Airparif, DataGouv","ArcGIS, DataGouv",Environnement
211300017,AIX EN PROVENCE,COM,PAC-93,https://aix-en-provence.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Aix+en+Provence,2.0,,,,Ville d'Aix en Provence,143006.0,43.5283,5.453301,ptf,13,Aix-en-Provence,OpenDataSoft,Administratif
217300086,AIX LES BAINS,COM,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5ab9e75188ee387964e77c2b/,1.0,5ab9e75188ee387964e77c2b,,30291.0,45.688789,5.914682,datagouv,73,DataGouv,DataGouv,Citoyenneté
218700102,AIXE SUR VIENNE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5ffc1d9b3ac8adacaf42b8dd/,1.0,5ffc1d9b3ac8adacaf42b8dd,,5820.0,45.796758,1.136213,datagouv,87,DataGouv,DataGouv,Equipements
218100048,ALBI,COM,OCC-76,https://opendata.mairie-albi.fr/dataset?q=,26.0,,,,,48970.0,43.927755,2.147899,ptf,81,Albi,CKAN,"Administratif, Culture, Santé, Transport, Citoyenneté, Environnement, Equipements"
215600016,ALLAIRE,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5a1d2901c751df5e50300f1c,1.0,5a1d2901c751df5e50300f1c,,3902.0,47.636403,-2.164071,datagouv,56,DataGouv,DataGouv,Administratif
220400014,ALPES DE HAUTE PROVENCE,DEP,PAC-93,https://trouver.datasud.fr/organization/departement-des-alpes-de-haute-provence,47.0,https://www.data.gouv.fr/fr/organizations/62344583fb72d30231b482f5/,47.0,62344583fb72d30231b482f5,,161980.0,,,ptf+datagouv,04,"Data Sud, DataGouv","CKAN, DataGouv","Culture, Citoyenneté, Administratif, Environnement, Sport, Equipements"
220600019,ALPES MARITIMES,DEP,PAC-93,https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-maritimes,29.0,https://www.data.gouv.fr/fr/organizations/5e00c7456f444104766e92d6/,29.0,5e00c7456f444104766e92d6,,1083704.0,,,ptf+datagouv,06,"Data Sud, DataGouv","CKAN, DataGouv","Culture, Tourisme, Equipements, Environnement, Administratif, Citoyenneté"
248000531,AMIENS METROPOLE,CA,HDF-32,,,https://www.data.gouv.fr/fr/organizations/62ac72051170a1fcc75a9a35/,1.0,62ac72051170a1fcc75a9a35,,182073.0,,,datagouv,80,DataGouv,DataGouv,Equipements
213000102,ANDUZE,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5c49b5498b4c4139d1714d76/,3.0,5c49b5498b4c4139d1714d76,,3484.0,44.0538,3.98467,datagouv,30,DataGouv,DataGouv,Administratif
214900078,ANGERS,COM,PDL-52,https://data.angers.fr/explore/?refine.publisher=Ville+d%27Angers,74.0,,,,Ville d'Angers,155984.0,47.47207,-0.556585,ptf,49,Angers,OpenDataSoft,"Administratif, Citoyenneté, Culture, Equipements"
244900015,ANGERS LOIRE METROPOLE,CU,PDL-52,https://data.angers.fr/explore/?refine.publisher=Angers+Loire+M%C3%A9tropole,38.0,https://www.data.gouv.fr/fr/organizations/538346d6a3a72906c7ec5c36,131.0,538346d6a3a72906c7ec5c36,Angers Loire Métropole,293701.0,,,ptf+datagouv,49,"Angers, DataGouv","OpenDataSoft, DataGouv","Urbanisme, Transport, Environnement, Citoyenneté, Administratif, Culture"
216400242,ANGLET,COM,NAQ-75,https://anglet-opendatapaysbasque.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Anglet,73.0,https://www.data.gouv.fr/fr/organizations/5b17dbeb88ee3869a59ebdca/,85.0,5b17dbeb88ee3869a59ebdca,Ville d'Anglet,38929.0,43.4766,-1.5135,ptf+datagouv,64,"Anglet, DataGouv","OpenDataSoft, DataGouv","Administratif, Culture, Citoyenneté, Environnement, Equipements, Sport"
200063402,ANNECY,COM,ARA-84,,,https://www.data.gouv.fr/fr/organizations/619f88fc6441e5690615915f/,8.0,619f88fc6441e5690615915f,,128199.0,45.899235,6.128885,datagouv,74,DataGouv,DataGouv,Environnement
210600045,ANTIBES JUAN LES PINS,COM,PAC-93,https://trouver.datasud.fr/organization/ville-dantibes-juan-les-pins,155.0,https://www.data.gouv.fr/fr/organizations/566594f388ee38738640355c/,155.0,566594f388ee38738640355c,,76119.0,43.571992,7.09875,ptf+datagouv,06,"Data Sud, DataGouv","CKAN, DataGouv","Santé, Culture, Administratif, Citoyenneté, Energie, Environnement, Equipements, Transport"
784237539,APUR,OACT,IDF-11,http://opendata.apur.org/datasets,98.0,,,,,,48.830279,2.376752,ptf,75,APUR,ArcGIS,"Urbanisme, Transport, Equipements, Administratif, Culture, Environnement"
451366611,ARCADI ILE DE FRANCE,OACT,IDF-11,https://data.iledefrance.fr/explore/?refine.publisher=Arcadi,10.0,,,,Arcadi,,48.871788,2.35364,ptf,75,Ile-de-France,OpenDataSoft,Culture
220700017,ARDECHE,DEP,ARA-84,https://opendata.ardeche.fr/search/type/dataset,0.0,,,,,327011.0,,,ptf,07,,,"Culture, Environnement, Equipements, Santé, Social, Tourisme, Transport"
487977985,ARDTA,OACT,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider%5B%5D=Agence+r%C3%A9gionale+de+d%C3%A9veloppement+des+territoires+d%27Auvergne+%28ARDTA%29,0.0,,,,,,45.759438,3.136113,ptf,63,,,"Economie, Social"
200059061,ARELAUNE EN SEINE,COM,NOR-28,,,https://www.data.gouv.fr/fr/organizations/603fba4aa3a703892c490829/,1.0,603fba4aa3a703892c490829,,2524.0,49.464945,0.751824,datagouv,76,DataGouv,DataGouv,Equipements
219500188,ARGENTEUIL,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5fa50f45bd278f782c7d3e31/,43.0,5fa50f45bd278f782c7d3e31,,110213.0,48.947907,2.24818,datagouv,95,DataGouv,DataGouv,Equipements
213600067,ARGENTON-SUR-CREUSE,COM,CVL-24,,,https://www.data.gouv.fr/fr/organizations/62711de919af2df1f9141a08/,8.0,62711de919af2df1f9141a08,,4954.0,46.588682,1.519103,datagouv,36,DataGouv,DataGouv,"Equipements, Administratif"
216400457,ARHANSUS,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5e66099d634f411da2f28cfd,2.0,5e66099d634f411da2f28cfd,,74.0,43.258168,-1.034527,datagouv,64,DataGouv,DataGouv,Equipements
220900013,ARIEGE,DEP,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5a90060ec751df1402f350d8/,1.0,5a90060ec751df1402f350d8,,152340.0,,,datagouv,09,DataGouv,DataGouv,Administratif
447740036,ARL PACA,OACT,PAC-93,https://trouver.datasud.fr/organization/agence-regionale-du-livre-provence-alpes-cote-dazur,4.0,,,,,,43.524479,5.439726,ptf,13,Data Sud,CKAN,Culture
215900176,ARMENTIERES,COM,HDF-32,,,https://www.data.gouv.fr/fr/organizations/60a78a3f1d4d931bae21fccb/,1.0,60a78a3f1d4d931bae21fccb,,25445.0,50.687158,2.879932,datagouv,59,DataGouv,DataGouv,Administratif
305350795,ARSUD,OACT,PAC-93,https://trouver.datasud.fr/organization/arsud,5.0,,,,,,43.527298,5.441016,ptf,13,Data Sud,CKAN,Culture
210500070,ARVIEUX,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5fc6254cc836fc8589d36ace/,1.0,5fc6254cc836fc8589d36ace,,361.0,44.768111,6.739265,datagouv,05,DataGouv,DataGouv,Equipements
216400663,ASCARAT,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5fa3ba5124bc0e93d8905ecd/,2.0,5fa3ba5124bc0e93d8905ecd,,318.0,43.170582,-1.255708,datagouv,64,DataGouv,DataGouv,Equipements
219200045,ASNIERES SUR SEINE,COM,IDF-11,https://opendata.hauts-de-seine.fr/explore/?refine.publisher=Ville+d%27Asnières-sur-Seine,5.0,https://www.data.gouv.fr/fr/organizations/5a61b7a7c751df3fd36ac81a,1.0,5a61b7a7c751df3fd36ac81a,Ville d'Asnières-sur-Seine,87286.0,48.91076,2.285095,ptf+datagouv,92,"Hauts-de-Seine, DataGouv","OpenDataSoft, DataGouv","Equipements, Transport, Culture"
210500088,ASPREMONT(05),COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/604b148a7c8d7d8a5d5b8b95/,1.0,604b148a7c8d7d8a5d5b8b95,,363.0,44.493349,5.7283,datagouv,05,DataGouv,DataGouv,Equipements
210500096,ASPRES-LES-CORPS,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/607d5459bc72dab326f2505a/,1.0,607d5459bc72dab326f2505a,,102.0,44.801921,5.981656,datagouv,05,DataGouv,DataGouv,Equipements
210500104,ASPRES-SUR-BUECH,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/60785484d78b20bfa6083c78/,1.0,60785484d78b20bfa6083c78,,812.0,44.521928,5.750202,datagouv,04,DataGouv,DataGouv,Equipements
200050714,ATD 36 INDRE,OACT,CVL-24,,,https://www.data.gouv.fr/fr/organizations/5aa95464c751df7c5ded72f6/,4.0,5aa95464c751df7c5ded72f6,,,46.812132,1.687007,datagouv,36,DataGouv,DataGouv,Administratif
200044543,ATD DE LA CHARENTE,OACT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5c07bfb98b4c411cce9b2460/,1.0,5c07bfb98b4c411cce9b2460,,,45.64581,0.15782,datagouv,16,DataGouv,DataGouv,Equipements
252405147,ATD DE LA DORDOGNE,OACT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5bf432fd8b4c414d27dc93ed/,1.0,5bf432fd8b4c414d27dc93ed,,,45.181837,0.721966,datagouv,24,DataGouv,DataGouv,Equipements
534194451,ATMO AUVERGNE RHONE ALPES,OACT,ARA-84,https://data-atmoaura.opendata.arcgis.com/datasets,159.0,https://www.data.gouv.fr/fr/organizations/59a538b688ee386b121578b9/,6.0,59a538b688ee386b121578b9,,,45.738447,4.931802,ptf+datagouv,69,"Atmo Aura, DataGouv","ArcGIS, DataGouv",Environnement
829854181,ATMO BOURGOGNE FRANCHE COMTE,OACT,BFC-27,https://www.atmo-bfc.org/opendata,6.0,https://www.data.gouv.fr/fr/organizations/5ddbf5ff6f444103e11e9d3d/,6.0,5ddbf5ff6f444103e11e9d3d,,,47.2415,6.02048,ptf+datagouv,25,"Atmo BFC, DataGouv","Spécifique, DataGouv",Environnement
822734307,ATMO GRAND EST,OACT,GES-44,https://data-atmograndest.opendata.arcgis.com/datasets,147.0,https://www.data.gouv.fr/fr/organizations/5889ea7a88ee385a5e9b81a4/,102.0,5889ea7a88ee385a5e9b81a4,,,48.6089,7.70829,ptf+datagouv,67,"Atmo Grand Est, DataGouv","ArcGIS, DataGouv",Environnement
420010878,ATMO GUYANE,OACT,GF-03,https://data-atmo-guyane.opendata.arcgis.com/datasets,12.0,,,,,,4.85751,-52.2723,ptf,973,Atmo Guyane,ArcGIS,Environnement
478029127,ATMO HAUTS DE FRANCE,OACT,HDF-32,https://data-atmo-hdf.opendata.arcgis.com/datasets,39.0,,,,,,50.6357,3.06317,ptf,59,Atmo Hauts de France,ArcGIS,Environnement
488233313,ATMO NORMANDIE,OACT,NOR-28,https://datas-atmonormandie.opendata.arcgis.com/datasets,59.0,,,,,,49.4431,1.10316,ptf,76,,,Environnement
311059422,ATMO NOUVELLE AQUITAINE,OACT,NAQ-75,https://data-atmo-na.opendata.arcgis.com/datasets,349.0,https://www.data.gouv.fr/fr/organizations/534fff53a3a7292c64a77cd9/,7.0,534fff53a3a7292c64a77cd9,,,44.8303,-0.673872,ptf+datagouv,33,DataGouv,DataGouv,Environnement
308599703,ATMO OCCITANIE,OACT,OCC-76,https://data-atmo-occitanie.opendata.arcgis.com/datasets,31.0,,,,,,43.575525,3.94454,ptf,34,Atmo Occitanie,ArcGIS,Environnement
422969667,ATMO REUNION,OACT,RE-04,https://data-atmoreunion.opendata.arcgis.com/datasets,11.0,,,,,,-20.8961,55.534,ptf,974,Atmo Réunion,ArcGIS,Environnement
324465632,ATMO SUD,OACT,PAC-93,https://trouver.datasud.fr/organization/atmosud,16.0,https://www.data.gouv.fr/fr/organizations/5b9fb3678b4c416ff2277bb5/,16.0,5b9fb3678b4c416ff2277bb5,,,43.286783,5.379505,ptf+datagouv,13,"Data Sud, DataGouv","CKAN, DataGouv",Environnement
200052488,ATOUMOD,AGCT,NOR-28,,,https://www.data.gouv.fr/fr/organizations/5cc844dd634f41078d8e2c8e/,1.0,5cc844dd634f41078d8e2c8e,,,49.4382,1.10398,datagouv,76,DataGouv,DataGouv,Transport
221000052,AUBE,DEP,GES-44,,,https://www.data.gouv.fr/fr/organizations/5a216283c751df6333108428/,2.0,5a216283c751df6333108428,,309117.0,,,datagouv,10,DataGouv,DataGouv,Administratif
429596190,AUBE EN CHAMPAGNE TOURISME,OACT,GES-44,,,https://www.data.gouv.fr/fr/organizations/54880126c751df081fa3fc15/,1.0,54880126c751df081fa3fc15,,,48.298282,4.077538,datagouv,10,DataGouv,DataGouv,Tourisme
200077113,AUBESSAGNE,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/604f61a2d902f0ba07ad35ac/,1.0,604f61a2d902f0ba07ad35ac,,704.0,44.738443,6.028525,datagouv,05,DataGouv,DataGouv,Equipements
218400042,AUBIGNAN,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/6013cae3542eb624776359ee/,2.0,6013cae3542eb624776359ee,,5719.0,44.09917,5.02425,datagouv,84,DataGouv,DataGouv,Equipements
213100225,AUCAMVILLE,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+d%27Aucamville,4.0,,,,Mairie d'Aucamville,8203.0,43.667997,1.429367,ptf,31,Toulouse Métropole,OpenDataSoft,Citoyenneté
221100019,AUDE,DEP,OCC-76,https://opendata.aude.fr/explore/?sort=modified&refine.publisher=D%C3%A9partement+de+l%27Aude,28.0,https://www.data.gouv.fr/fr/organizations/60acaf1821f0f41bc0ffdc0d/,31.0,60acaf1821f0f41bc0ffdc0d,Département de l'Aude,370260.0,,,ptf+datagouv,11,"Aude, DataGouv","OpenDataSoft, DataGouv","Administratif, Education, Equipements, Transport, Environnement"
200043123,AURAY QUIBERON TERRE ATLANTIQUE,CC,BRE-53,,,https://www.data.gouv.fr/fr/organizations/6363e75adf1a970bf06b1f2b/,1.0,6363e75adf1a970bf06b1f2b,,88405.0,,,datagouv,56,DataGouv,DataGouv,Environnement
213100332,AUTERIVE,COM,OCC-76,https://data.haute-garonne.fr/pages/catalogue-partenaires-conseil-departemental-de-la-haute-garonne0/?disjunctive.publisher&q.custom=NOT%20publisher:%22Conseil%2Bd%C3%A9partemental%2Bde%2Bla%2BHaute-Garonne%22%20%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20&refine.publisher=Commune%20d%27Auterive,3.0,,,,Commune d'Auterive,9417.0,43.350837,1.477022,ptf,31,Haute-Garonne,OpenDataSoft,Administratif
