nom,SIREN,type,COG,COG_3digits,code_departement,code_departement_3digits,code_region,population,EPCI,url-ptf,url-datagouv,id-datagouv,merge,ptf,trancheEffectifsUniteLegale,EffectifsSup50
Guadeloupe,239710015,REG,01,,,,,396153,,https://regionguadeloupe.opendatasoft.com/explore/?q=&sort=modified&refine.publisher=Conseil+R%C3%A9gional+Guadeloupe,,,ptf,KaruData,42.0,True
Martinique,200055507,CTU,02,,,,,377711,,,,,,,51.0,True
Guyane,200052678,CTU,03,,,,,271124,,,,,,,51.0,True
La Réunion,239740012,REG,04,,,,,863063,,https://data.regionreunion.com/explore/?disjunctive.theme&disjunctive.modified&disjunctive.publisher&sort=modified&refine.publisher=Conseil+Régional+La+Réunion,,,ptf,La Réunion,51.0,True
Île-de-France,237500079,REG,11,,,,,12291279,,https://data.iledefrance.fr/explore/?refine.publisher=R%C3%A9gion+%C3%8Ele-de-France,https://www.data.gouv.fr/fr/organizations/534fffa8a3a7292c64a780c8,534fffa8a3a7292c64a780c8,ptf+datagouv,"Ile-de-France, DataGouv",53.0,True
Centre-Val de Loire,234500023,REG,24,,,,,2634852,,https://data.centrevaldeloire.fr/explore/?sort=explore.popularity_score&refine.publisher=R%C3%A9gion+Centre-Val+de+Loire,https://www.data.gouv.fr/fr/organizations/region-centre-val-de-loire/,561a7f00c751df4e6dcdbb48,ptf+datagouv,"Centre Val-de-Loire, DataGouv",51.0,True
Bourgogne-Franche-Comté,200053726,REG,27,,,,,2885864,,https://trouver.ternum-bfc.fr/organization/region-bourgogne-franche-comte,https://www.data.gouv.fr/fr/organizations/5835cdb988ee383e0bc65bb3,5835cdb988ee383e0bc65bb3,ptf+datagouv,"Bourgogne-Franche-Comté, DataGouv",51.0,True
Normandie,200053403,REG,28,,,,,3403309,,https://opendata.normandie.fr/search,https://www.data.gouv.fr/fr/organizations/565ebf4788ee3869aae72046/,565ebf4788ee3869aae72046,datagouv,DataGouv,52.0,True
Hauts-de-France,200053742,REG,32,,,,,6096177,,http://opendata.hautsdefrance.fr/dataset,https://www.data.gouv.fr/fr/organizations/5df935d8634f414e69469492/,5df935d8634f414e69469492,ptf+datagouv,"Hauts de France, DataGouv",52.0,True
Grand Est,200052264,REG,44,,,,,5657093,,"https://www.datagrandest.fr/data4citizen/?facet.field=%5B%22organization%22,%22tags%22,%22themes%22,%22features%22%5D&rows=12&start=0&fq=organization:(region-grand-est)",https://www.data.gouv.fr/fr/organizations/55df259f88ee386e57a46ec2,55df259f88ee386e57a46ec2,ptf+datagouv,"Grand Est, DataGouv",52.0,True
