COM_COMER,TNCC,NCC,NCCENR,LIBELLE,NATURE_ZONAGE,COMER,LIBELLE_COMER
97501,0,MIQUELON LANGLADE,Miquelon-Langlade,Miquelon-Langlade,COM,975,Saint-Pierre-et-Miquelon
97502,0,SAINT PIERRE,Saint-Pierre,Saint-Pierre,COM,975,Saint-Pierre-et-Miquelon
97701,0,SAINT BARTHELEMY,Saint-Barthélemy,Saint-Barthélemy,COM,977,Saint-Barthélemy
97801,0,SAINT MARTIN,Saint-Martin,Saint-Martin,COM,978,Saint-Martin
98411,4,ILES SAINT PAUL ET AMSTERDAM,Îles Saint-Paul et Amsterdam,Îles Saint-Paul et Amsterdam,DIS,984,Terres australes et antarctiques françaises
98412,5,ARCHIPEL DES KERGUELEN,Archipel des Kerguelen,Archipel des Kerguelen,DIS,984,Terres australes et antarctiques françaises
98413,5,ARCHIPEL DES CROZET,Archipel des Crozet,Archipel des Crozet,DIS,984,Terres australes et antarctiques françaises
98414,3,TERRE ADELIE,Terre-Adélie,Terre-Adélie,DIS,984,Terres australes et antarctiques françaises
98415,4,ILES EPARSES DE L OCEAN INDIEN,Îles Éparses de l'océan Indien,Îles Éparses de l'océan Indien,DIS,984,Terres australes et antarctiques françaises
98611,1,ALO,Alo,Alo,CIR,986,Wallis-et-Futuna
98612,0,SIGAVE,Sigave,Sigave,CIR,986,Wallis-et-Futuna
98613,1,UVEA,Uvea,Uvea,CIR,986,Wallis-et-Futuna
98711,1,ANAA,Anaa,Anaa,COM,987,Polynésie française
98712,1,ARUE,Arue,Arue,COM,987,Polynésie française
98713,1,ARUTUA,Arutua,Arutua,COM,987,Polynésie française
98714,0,BORA BORA,Bora-Bora,Bora-Bora,COM,987,Polynésie française
98715,0,FAAA,Faaa,Faaa,COM,987,Polynésie française
98716,0,FAKARAVA,Fakarava,Fakarava,COM,987,Polynésie française
98717,0,FANGATAU,Fangatau,Fangatau,COM,987,Polynésie française
98718,0,FATU HIVA,Fatu-Hiva,Fatu-Hiva,COM,987,Polynésie française
98719,0,GAMBIER,Gambier,Gambier,COM,987,Polynésie française
98720,0,HAO,Hao,Hao,COM,987,Polynésie française
98721,0,HIKUERU,Hikueru,Hikueru,COM,987,Polynésie française
98722,0,HITIAA O TE RA,Hitiaa O Te Ra,Hitiaa O Te Ra,COM,987,Polynésie française
98723,0,HIVA OA,Hiva-Oa,Hiva-Oa,COM,987,Polynésie française
98724,0,HUAHINE,Huahine,Huahine,COM,987,Polynésie française
98725,0,MAHINA,Mahina,Mahina,COM,987,Polynésie française
98726,0,MAKEMO,Makemo,Makemo,COM,987,Polynésie française
98727,0,MANIHI,Manihi,Manihi,COM,987,Polynésie française
98728,0,MAUPITI,Maupiti,Maupiti,COM,987,Polynésie française
98729,0,MOOREA MAIAO,Moorea-Maiao,Moorea-Maiao,COM,987,Polynésie française
98730,0,NAPUKA,Napuka,Napuka,COM,987,Polynésie française
98731,0,NUKU HIVA,Nuku-Hiva,Nuku-Hiva,COM,987,Polynésie française
98732,0,NUKUTAVAKE,Nukutavake,Nukutavake,COM,987,Polynésie française
98733,0,PAEA,Paea,Paea,COM,987,Polynésie française
98734,0,PAPARA,Papara,Papara,COM,987,Polynésie française
98735,0,PAPEETE,Papeete,Papeete,COM,987,Polynésie française
98736,0,PIRAE,Pirae,Pirae,COM,987,Polynésie française
98737,0,PUKAPUKA,Pukapuka,Pukapuka,COM,987,Polynésie française
98738,0,PUNAAUIA,Punaauia,Punaauia,COM,987,Polynésie française
98739,0,RAIVAVAE,Raivavae,Raivavae,COM,987,Polynésie française
98740,0,RANGIROA,Rangiroa,Rangiroa,COM,987,Polynésie française
98741,0,RAPA,Rapa,Rapa,COM,987,Polynésie française
