ndeg_siren,adresse,identifiant_unique,montant_subvention,gestion,beneficiaire
49830332000036.0,PLACE RENE COTY VIRY CHATILLON,13,675.93,Région IDF,1000 VISAGES PRODUCTION
40421352200042.0,12 RUE ALBERT ROPER FRESNES,21,21294.0,Région IDF,36 DU MOIS
775661440.0,19-21 RUE BAUDIN 94207 IVRY-SUR-SEINE,32,22833.38,ASP,A D E F
31528108900021.0,68 RUE DE LA CHAUSSEE D ANTIN PARIS 9,44,1872.0,Région IDF,A.P.E.S.D.A.M.N COURS PRIVE MORVAN
35361581800039.0,4 RUE PAUL ELUARD BOBIGNY,51,23000.0,Région IDF,AADEF MEDIATION ENFANCE FAMILLE
34482479200032.0,"9, RUE DE LA FONTAINE PARIS 16",70,38230.96,Région IDF,ABC PUERICULTURE
30249234300033.0,RUE DES CHEMINOTS LA PLAINE ST DENIS,82,640.0,Région IDF,ACADEMIE FRATELLINI
78441405400055.0,40 RUE DE LIEGE PARIS,108,1842.96,Région IDF,ACE ASS DES COMPTABLES ENSEIGNEMENT
78441405400055.0,40 RUE DE LIEGE PARIS,113,1129463.03,Région IDF,ACE ASS DES COMPTABLES ENSEIGNEMENT
78515061600049.0,14  RUE GUSTAVE EIFFEF     BP 58 POISSY CEDEX,136,8233.0,Région IDF,ACPPAV  ASS COURS PROF PHARMACIE ACADEMIE VERSAIL
78515061600049.0,14  RUE GUSTAVE EIFFEF     BP 58 POISSY CEDEX,139,147495.97,Région IDF,ACPPAV  ASS COURS PROF PHARMACIE ACADEMIE VERSAIL
77567831100041.0,59  RUE PLANCHAT PARIS 20,146,29352.61,Région IDF,ACPPP   ASS COURS PROF & PERFECT EMP & PREPA PHARMA
95036986800027.0,138 RUE DE L'EGLISE HEROUVILLE ST CLAIR,161,30000.0,Région IDF,ACRO ASS CONTROLE RADIO ACTIVITE DANS L OUEST
492729611.0,49 BLD BESSIERES 75017 PARIS,186,15000.0,ASP,ACTIONS JEUNES AJ
79043398100012.0,58 RUE DU LOUVRE PARIS,196,3539.0,Région IDF,ADABJOP
41984979900020.0,3 PAS SAINT PIERRE VERSAILLES,211,3500.0,Région IDF,ADAFA ASS DEVELOP APPRENTIS FRANCILIEN AGRICOLE
41984979900020.0,3 PAS SAINT PIERRE VERSAILLES,215,6300.0,Région IDF,ADAFA ASS DEVELOP APPRENTIS FRANCILIEN AGRICOLE
39077971800019.0,2   RUE DU PRESIDENT G POMPIDOU SANNOIS,226,65000.0,Région IDF,ADAME ASS DEV AIDE MUSIQ ELECTROACOUS
48332829000018.0,9  RUE PAUL DOUMER VERNOUILLET,230,519.44,Région IDF,ADAPAVE  DEVEL AGRIC PERIURBAINE A VERNOUIL
433519477.0,127 AVENUE D'ITALIE 75013 PARIS,235,145102.3,ASP,ADAPSS
39983134600016.0,16  RUE CLAUDE BERNARD PARIS 05 CEDEX,244,20300.0,Région IDF,ADASEV
40430611000010.0,1 ALLEE DU MONT-DE-SARCELLES SARCELLES,257,4800.0,Région IDF,ADDFEAP - ASSOCIATION DEFENSE DES DROITS DE LA FAMILLE D'ENTRAIDE ET AMITIE ENTRE LES PEUPLES
40430611000010.0,1 ALLEE DU MONT-DE-SARCELLES SARCELLES,258,495.64,Région IDF,ADDFEAP - ASSOCIATION DEFENSE DES DROITS DE LA FAMILLE D'ENTRAIDE ET AMITIE ENTRE LES PEUPLES
39089496200039.0,4-6 ALLEE KEPLER CHAMPS-SUR-MARNE,264,3762000.0,Région IDF,ADEFSA  CTRE FORMATION APPRENTIS DESCARTES
39089496200039.0,4-6 ALLEE KEPLER CHAMPS-SUR-MARNE,267,1028310.29,Région IDF,ADEFSA  CTRE FORMATION APPRENTIS DESCARTES
39089496200039.0,4-6 ALLEE KEPLER CHAMPS-SUR-MARNE,270,6381.33,Région IDF,ADEFSA  CTRE FORMATION APPRENTIS DESCARTES
33183171900033.0,52  RUE VITRUVE PARIS 20,277,53606.0,Région IDF,ADERE  ASS DEVELOP ENSEI GNEMT RECHERC ERGOTHERAPIE
30975404200039.0,48  RUE STEPHENSON PARIS 18,297,8800.0,Région IDF,ADFC  VENTE DISTRIBUTION
409801677.0,44 QUAI DE JEMMAPES 75010 PARIS,316,1592.1,ASP,ADIP
